9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
29067933,20180101,article,mesh,"Adult,Female,Genetic Predisposition to Disease,Glutathione Transferase,Humans,India,Loss of Function Mutation,Male,Polymorphism, Genetic,Psoriasis,Tobacco Use","adverse effects,diagnosis,epidemiology,genetics","D064424 Q000453 NN,D005982 Q000235 NY,D020022 Q000453 NN,D011110 Q000235 NY,D011565 Q000175 NN,D020022 Q000235 NY,D064424 Q000009 NN,D007194 Q000453 NN,D011565 Q000453 NN,D000073658 Q000235 NN,D011565 Q000235 NY,D064424 Q000235 NN",NULL,NULL,Polymorphism of glutathione S-transferase M1 and T1 genes and susceptibility to psoriasis disease: A study from North India.,"BACKGROUND: Increased oxidative stress and resulting inflammation has been emphasized as a factor in the pathogenesis of many diseases including psoriasis. Glutathione S-transferases (GSTs) protect against oxidative stress, inflammation, and genotoxicity. Polymorphisms in the GST genes may lead to an imbalance in pro- and antioxidant systems resulting in the increased production of reactive oxygen species that could influence the pathogenesis of psoriasis. AIM: The aim of this study was to investigate the a","Indian journal of dermatology, venereology and leprology","Daya Shankar Lal Srivastava, Vijay K Jain, Poonam Verma, Jaya P Yadav"," Department of Biotechnology and Molecular Medicine, Pt. B.D. Sharma PGIMS, Rohtak, Haryana, India. Department of Skin and VD, Pt. B.D. Sharma PGIMS, Rohtak, Haryana, India. Department of Skin and VD, Pt. B.D. Sharma PGIMS, Rohtak, Haryana, India. Department of Genetics, M.D. University, Rohtak, Haryana, India.",2018 Jan;84(1):39-44,10.4103/ijdvl.ijdvl_1128_16
29099738,20171101,article,NULL,NULL,NULL,NULL,NULL,NULL,"Anti-Inflammatory Effect of Malva sylvestris, Sida cordifolia, and Pelargonium graveolens Is Related to Inhibition of Prostanoid Production.","The ability of plant extracts and preparations to reduce inflammation has been proven by different means in experimental models. Since inflammation enhances the release of specific mediators, inhibition of their production can be used to investigate the anti-inflammatory effect of plants widely used in folk medicine for this purpose. The study was performed for leaves and flowers of Malva sylvestris, and leaves of Sida cordifolia and Pelargonium graveolens. These are three plant species known in Brazil as M","Molecules (Basel, Switzerland)","Cleverson Antonio Ferreira Martins, Michel Leandro Campos, Ana Carolina Irioda, Dile Pontarolo Stremel, Angela Cristina Leal Badaró Trindade, Roberto Pontarolo"," Department of Pharmacy, Universidade Federal do Paraná, 632 Lothário Meissner Avenue, Curitiba 80210-170, Brazil. cleverson.afm@gmail.com. Department of Pharmacy, Universidade Federal do Paraná, 632 Lothário Meissner Avenue, Curitiba 80210-170, Brazil. michelleandocampos@gmail.com. Department of Pharmacy, Pelé Pequeno Príncipe Research Institute, 1632 Silva Jardim Avenue, Curitiba 80250-060, Brazil. anairioda@gmail.com. Department of Pharmacy, Universidade Federal do Paraná, 632 Lothário Meissner Avenue, C",2017 Nov;22(11):?,10.3390/molecules22111883
29156345,20180101,article,mesh,"Bignoniaceae,Cell Line,Cell Survival,Fibroblasts,Free Radical Scavengers,Humans,Lipid Peroxidation,Plant Extracts,Plant Leaves,Protective Agents,Reactive Oxygen Species,Superoxides,Ultraviolet Rays","chemistry,cytology,drug effects,metabolism,pharmacology,radiation effects","D020011 Q000737 NN,D010936 Q000737 NN,D018515 Q000378 NN,D016166 Q000737 NY,D002470 Q000187 NN,D013481 Q000378 NN,D015227 Q000528 NN,D017382 Q000378 NN,D005347 Q000378 NN,D002470 Q000528 NN,D005347 Q000166 NN,D020011 Q000494 NY,D029402 Q000378 NN,D005347 Q000187 NN,D016166 Q000494 NN,D029402 Q000737 NY,D015227 Q000187 NY,D018515 Q000737 NN",5359597,NULL,The extended production of UV-induced reactive oxygen species in L929 fibroblasts is attenuated by posttreatment with Arrabidaea chica through scavenging mechanisms.,Ultraviolet radiation (UVR) exposure causes various injurious effects to human skin by generating reactive oxygen species (ROS). Excessive ROS production can lead to oxidative stress which may damage cellular components like lipids and proteins and causing photoaging. The use of natural photochemopreventive agents with antioxidant properties is an important alternative to improve the effectiveness of sunscreens and reduce skin photodamage. A crude extract (CE) from the leaves of Arrabidaea chica underwent p,"Journal of photochemistry and photobiology. B, Biology","Fabianne Martins Ribeiro, Hélito Volpato, Danielle Lazarin-Bidóia, Vânia Cristina Desoti, Rebeca Oliveira de Souza, Maria José Vieira Fonseca, Tânia Ueda-Nakamura, Celso Vataru Nakamura, Sueli de Oliveira Silva"," Programa de Pós-Graduação em Ciências Farmacêuticas, Universidade Estadual de Maringá, Paraná, Brazil. Programa de Pós-Graduação em Ciências Biológicas, Universidade Estadual de Maringá, Maringá, Paraná, Brazil. Programa de Pós-Graduação em Ciências Farmacêuticas, Universidade Estadual de Maringá, Paraná, Brazil. Programa de Pós-Graduação em Ciências Farmacêuticas, Universidade Estadual de Maringá, Paraná, Brazil. Departamento de Farmácia, Universidade de São Paulo, Ribeirão Preto, Brazil. Departamento de ",2018 Jan;178(?):175-181,10.1016/j.jphotobiol.2017.11.002
29174039,20171201,article,mesh,"Animals,Biomarkers,Diet, High-Fat,Lipid Metabolism,Lipids,Lipogenesis,Lipolysis,Liver,Male,Malvaceae,Mice,Mice, Inbred C57BL,Obesity,Oxidation-Reduction,Oxidative Stress,Plant Extracts,Plant Leaves,Vegetables","adverse effects,chemistry,drug effects,drug therapy,metabolism,pharmacology,physiology","D059305 Q000009 NN,D008066 Q000187 NY,D008099 Q000187 NY,D010084 Q000187 NN,D009765 Q000378 NN,D050155 Q000187 NY,D008099 Q000378 NN,D018384 Q000187 NY,D010936 Q000494 NY,D014675 Q000737 NN,D009765 Q000188 NN,D015415 Q000378 NN,D019660 Q000737 NY,D008055 Q000502 NN,D050356 Q000187 NY,D018515 Q000737 NN",NULL,NULL,"Lavatera critica, a green leafy vegetable, controls high fat diet induced hepatic lipid accumulation and oxidative stress through the regulation of lipogenesis and lipolysis genes.","BACKGROUND: Lipid accumulation is the most vital risk factor for inducing nonalcoholic fatty liver disease (NAFLD) and metabolic syndrome. Thus, the development of novel drugs is urgently needed to control obesity related diseases. OBJECTIVE: Here, we investigated the protective role of Lavatera critica (LC), a green vegetable, in male C57BL/6J mice fed with high fat (HF) diet for 10 weeks to induce hepatic lipid accumulation and oxidative cellular damage. RESULTS: After oral administration of chloroform (C",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Chinnadurai Veeramani, Mohammed A Alsaif, Khalid S Al-Numair"," Department of Community Health Sciences, College of Applied Medical Sciences, King Saud University, P.O. Box 10219, Riyadh 11433, Saudi Arabia. Electronic address: chinnaveeramani@gmail.com. Department of Community Health Sciences, College of Applied Medical Sciences, King Saud University, P.O. Box 10219, Riyadh 11433, Saudi Arabia. Department of Community Health Sciences, College of Applied Medical Sciences, King Saud University, P.O. Box 10219, Riyadh 11433, Saudi Arabia.",2017 Dec;96(?):1349-1357,10.1016/j.biopha.2017.11.072
29254794,20180201,article,mesh,"Adaptor Proteins, Signal Transducing,Adult,Aged,Aged, 80 and over,Carcinoma, Squamous Cell,Cell Line, Tumor,DNA Methylation,Epigenesis, Genetic,Female,Head and Neck Neoplasms,Humans,Lymphatic Metastasis,Male,Middle Aged,Neoplasm Proteins,Tumor Suppressor Proteins,Wnt Signaling Pathway","genetics,metabolism,pathology,physiology","D044127 Q000235 NN,D008207 Q000473 NN,D048868 Q000378 NY,D025521 Q000378 NY,D002294 Q000378 NY,D009363 Q000378 NY,D060449 Q000502 NN,D019175 Q000502 NN,D006258 Q000378 NY",NULL,NULL,"Frequent methylation of DAB2, a Wnt pathway antagonist, in oral and oropharyngeal squamous cell carcinomas.","BACKGROUND: Aberrations in Wnt signaling pathway are related to the pathogenesis of head and neck carcinomas and their activation frequently results from epigenetic alterations. This study aimed to assess the frequency of the methylation of DAB2, which acts as a negative regulator of Wnt signaling, and correlate it with clinicopathological features in a group of oral cancer patients. MATERIAL AND METHODS: Forty nine patients with primary oral squamous cell carcinoma were enrolled in the study. DNA samples w","Pathology, research and practice","Jaroslaw Paluszczak, Katarzyna Kiwerska, Daniela Mielcarek-Kuchta"," Department of Pharmaceutical Biochemistry, Poznan University of Medical Sciences, Poznan, Poland. Electronic address: paluszcz@ump.edu.pl. Institute of Human Genetics, Polish Academy of Sciences, Poznan, Poland. Department of Otolaryngology and Laryngological Oncology, Poznan University of Medical Sciences, Poznan, Poland.",2018 Feb;214(2):314-317,10.1016/j.prp.2017.12.010
29263629,20170101,article,NULL,NULL,NULL,NULL,NULL,NULL,Antioxidant Activity and Phenolic and Flavonoid Contents of the Extract and Subfractions of Euphorbia splendida Mobayen.,"INTRODUCTION: The harmful action of the free radicals which cause the oxidative stress can be blocked by antioxidant substances, and different plant extracts showed antioxidant activity. The aim of this study is was evaluation the antioxidant activity of total methanol extract (ME) and subfractions of Euphorbia splendida Mobayen. MATERIALS AND METHODS: Aerial part of E. splendida was extracted by maceration with methanol and then subfractionated by liquid-liquid fractionation using petroleum ether, chlorofo",Pharmacognosy research,"Zahra Kefayati, Saeed Mohammadi Motamed, Asie Shojaii, Mitra Noori, Roshanak Ghods"," Department of Pharmacognosy, Faculty of Pharmacy, Pharmaceutical Sciences Branch, Islamic Azad University, (IAUPS), Tehran, (HMRC), Iran. Herbal Medicines Research Center, Pharmaceutical Sciences Branch, Islamic Azad University, Tehran, (HMRC), Iran. Department of Pharmacognosy, Faculty of Pharmacy, Pharmaceutical Sciences Branch, Islamic Azad University, (IAUPS), Tehran, (HMRC), Iran. Department of Traditional Pharmacy, Research Institute for Islamic and Complementary Medicine and School of Traditional Me",2017 Jan;9(4):362-365,10.4103/pr.pr_12_17
29268714,20170101,article,mesh,"Chromatin Immunoprecipitation,DNA,HeLa Cells,Humans,Indicators and Reagents,Preservation, Biological,Sequence Analysis, DNA",isolation &amp; purification,D004247 Q000302 NY,44135672,NULL,Purification of nanogram-range immunoprecipitated DNA in ChIP-seq application.,"Chromatin immunoprecipitation-sequencing (ChIP-seq) is a widely used epigenetic approach for investigating genome-wide protein-DNA interactions in cells and tissues. The approach has been relatively well established but several key steps still require further improvement. As a part of the procedure, immnoprecipitated DNA must undergo purification and library preparation for subsequent high-throughput sequencing. Current ChIP protocols typically yield nanogram quantities of immunoprecipitated DNA mainly depe",BMC genomics,"Jian Zhong, Zhenqing Ye, Samuel W Lenz, Chad R Clark, Adil Bharucha, Gianrico Farrugia, Keith D Robertson, Zhiguo Zhang, Tamas Ordog, Jeong-Heon Lee"," Epigenomics Development Laboratory, Epigenomics Program, Center for Individualized Medicine, Mayo Clinic, Rochester, MN, 55905, USA. Division of Biomedical Statistics and Informatics, Department of Health Science Research, Mayo Clinic, Rochester, MN, 55905, USA. Epigenomics Development Laboratory, Epigenomics Program, Center for Individualized Medicine, Mayo Clinic, Rochester, MN, 55905, USA. Epigenomics Development Laboratory, Epigenomics Program, Center for Individualized Medicine, Mayo Clinic, Rochester",2017 Jan;18(1):985,10.1186/s12864-017-4371-5
29331316,20180424,article,mesh,"Acetic Acid,Alkanes,Analgesics,Animals,Anti-Inflammatory Agents,Anti-Ulcer Agents,Carrageenan,Disease Models, Animal,Dose-Response Relationship, Drug,Edema,Ethanol,Fatty Acids,Female,Gas Chromatography-Mass Spectrometry,Hot Temperature,Hydrochloric Acid,Lethal Dose 50,Male,Mice,Pain,Phytotherapy,Plant Extracts,Plant Leaves,Plants, Medicinal,Rats, Wistar,Rutaceae,Solvents,Stomach Ulcer,gamma-Linolenic Acid","chemically induced,chemistry,isolation &amp; purification,pharmacology,prevention &amp; control,toxicity","D000897 Q000302 NN,D004487 Q000517 NY,D000893 Q000494 NY,D010936 Q000633 NN,D000700 Q000302 NN,D010936 Q000302 NN,D017965 Q000302 NN,D000893 Q000633 NN,D000473 Q000737 NY,D005227 Q000633 NN,D018515 Q000633 NN,D000893 Q000302 NN,D010936 Q000494 NY,D027821 Q000633 YN,D027821 Q000737 YN,D005227 Q000494 NY,D000897 Q000494 NY,D017965 Q000494 NN,D000897 Q000633 NN,D010146 Q000139 NN,D013276 Q000139 NN,D013276 Q000517 NY,D004487 Q000139 NN,D005227 Q000302 NN,D012997 Q000737 NY,D000700 Q000494 NY,D000700 Q000633 NN","176,313,702,5280933,11966249",NULL,Pharmacological activities of the organic extracts and fatty acid composition of the petroleum ether extract from Haplophyllum tuberculatum leaves.,"ETHNOPHARMACOLOGICAL RELEVANCE: Haplophyllum tuberculatum is used in traditional medicine to treat many disorders including inflammation and pain. The aim of this study is to investigate the organic extracts from H. tuberculatum leaves against inflammation, gastric ulcer and pain. MATERIALS AND METHODS: Acute toxicity was studied in vivo to determine the toxic doses of the organic extracts. Anti-inflammatory activity was also evaluated in vivo using carrageenan-induced paw edema in Wistar rats. Gastroprotec",Journal of ethnopharmacology,"Assia Hamdi, Kaouther Majouli, Amal Abdelhamid, Belsem Marzouk, Hèla Belghith, Imed Chraief, Abderrahman Bouraoui, Zohra Marzouk, Yvan Vander Heyden"," Laboratory of Chemical, Galenic and Pharmacological Development of Drugs, Faculty of Pharmacy, University of Monastir, 5000, Tunisia; Department of Analytical Chemistry, Applied Chemometrics and Molecular Modelling, Center for Pharmaceutical Research (CePhaR), Vrije Universiteit Brussel (VUB), Laarbeeklaan 103, 1090 Brussels, Belgium. Electronic address: hamdiessia@gmail.com. Biochemistry Laboratory, Research Unit: UR 12ES08 ""Cell Signaling and Pathologies"" Faculty of Medicine, University of Monastir, 5000",2018 Apr;216(?):97-103,10.1016/j.jep.2018.01.012
29397096,20180101,article,mesh,"Anacardium,Animals,Anti-Inflammatory Agents,Bronchoconstriction,Bronchodilator Agents,Edema,Female,Guinea Pigs,Humans,Male,Oleic Acids,Plant Extracts,Plant Leaves,Rats,Rats, Wistar","administration &amp; dosage,chemistry,drug effects,drug therapy,physiopathology","D010936 Q000737 NN,D009829 Q000737 NN,D004487 Q000503 NN,D001993 Q000737 NN,D016084 Q000187 NN,D001993 Q000008 NY,D000893 Q000737 NN,D031021 Q000737 NY,D000893 Q000008 NY,D009829 Q000008 NN,D004487 Q000188 NY,D010936 Q000008 NY,D018515 Q000737 NN","1930,5283387,5353370",NULL,Anti-inflammatory and bronchodilatory constituents of leaf extracts of Anacardium occidentale L. in animal models.,"Anacardium occidentale L. leaf is useful in the treatment of inflammation and asthma, but the bioactive constituents responsible for these activities have not been characterized. Therefore, this study was aimed at identifying the bioactive constituent(s) of A. occidentale ethanolic leaf extract (AOEL) and its solvent-soluble portions, and evaluating their effects on histamine-induced paw edema and bronchoconstriction. The bronchodilatory effect was determined by measuring the percentage protection provided ",Journal of integrative medicine,"Oluwakemi Josephine Awakan, Sylvia Omonirume Malomo, Abdullahi Adeyinka Adejare, Adedoyin Igunnu, Olubunmi Atolani, Abiodun Humphrey Adebayo, Bamidele Victor Owoyele"," Department of Biological Sciences, College of Science and Engineering, Landmark University, PMB 1001, Omu-Aran, Nigeria. Electronic address: amira.oluwakemi@lmu.edu.ng. Department of Biological Sciences, College of Science and Engineering, Landmark University, PMB 1001, Omu-Aran, Nigeria; Department of Biochemistry, Faculty of Life Sciences, University of Ilorin, PMB 1515, Ilorin, Nigeria. Department of Physiology, Faculty of Basic Medical Sciences, College of Medicine of the University of Lagos, PMB 12003",2018 Jan;16(1):62-70,10.1016/j.joim.2017.12.009
29458167,20180515,article,mesh,"Algorithms,Case-Control Studies,Female,Gene Frequency,Genes, Dominant,Genetic Predisposition to Disease,Genotype,Heterozygote,Humans,Inflammation,Interleukin-17,Iran,Male,Mutation, Missense,Polymerase Chain Reaction,Probability,Proline,Sequence Analysis, DNA,Software,Stomatitis, Aphthous,Threonine",genetics,"D020381 Q000235 NY,D013281 Q000235 NY,D013912 Q000235 NN,D011392 Q000235 NN","614,6288,8988,145742",NULL,Autosomal dominant deficiency of the interleukin-17F in recurrent aphthous stomatitis: Possible novel mutation in a new entity.,"Recurrent Aphthous Stomatitis (RAS) is a common oral inflammatory disease with unknown pathogenesis. Although the immune system alterations could be involved in predisposition of individuals to oral candidiasis, precise etiologies of RAS have not been understood yet. A recent study showed that autosomal dominant IL17F deficiency could cause chronic mucocutaneous candidiasis. Considering the inflammatory nature of interleukin (IL)-17F and RAS, this study was performed to check any disease-associated mutation",Gene,"Alireza Zare Bidoki, Ahmad Massoud, Shamsolmoulouk Najafi, Mahsa Mohammadzadeh, Nima Rezaei"," Department of Immunology, School of Medicine, Tehran University of Medical Sciences, Tehran, Iran; The John Curtin School of Medical Research, Australian National University, Canberra 2601, Australia; Network of Immunity in Infection, Malignancy and Autoimmunity (NIIMA), Universal Scientific Education and Research Network (USERN), Canberra, Australia. Department of Immunology, School of Medicine, Tehran University of Medical Sciences, Tehran, Iran. Dental Research Center, School of Dentistry, Tehran Univer",2018 May;654(?):64-68,10.1016/j.gene.2018.02.041
29459514,20180301,article,mesh,"Animals,Brain,Cytokines,Inflammation Mediators,Macrophage Activation,Macrophages,Mice,Nitric Oxide,Phagocytosis,Phospholipids,RAW 264.7 Cells,Superoxide Dismutase,Tissue Extracts,Tuna","drug effects,immunology,isolation &amp; purification,metabolism,pharmacology","D010587 Q000187 NN,D008264 Q000378 NN,D010743 Q000302 NY,D016207 Q000378 NN,D010743 Q000494 NY,D014020 Q000494 NY,D008262 Q000187 NY,D008264 Q000276 NY,D009569 Q000378 NN,D018836 Q000378 NN,D001921 Q000378 NY,D013482 Q000378 NN",145068,NULL,Activation of Macrophages in vitro by Phospholipids from Brain of Katsuwonus pelamis (Skipjack Tuna).,"The biological activities of phospholipids (PLs) have attracted people's attention, especially marine phospholipids with omega-3 polyunsaturated fatty acids DHA and EPA. In this study, we investigated the immunity activation of macrophages in vitro by phospholipids from skipjack brain. The phospholipids were extracted with hexane and ethanol ultrasonication instead of the traditional method of methanol and chloroform. The content of phospholipids from Skipjack brain was 19.59 g/kg by the method (the ratio o",Journal of oleo science,"Hang Lu, Li Zhang, Hui Zhao, Jingjing Li, Hailin You, Lu Jiang, Jianen Hu"," College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. College of Food Science and Engineering, Dalian Ocean University. Fujian Province Key Laboratory for the Department",2018 Mar;67(3):327-333,10.5650/jos.ess17181
29551896,20180101,article,mesh,"Animals,Apoptosis,Autophagy,Beclin-1,Calcium Phosphates,Carcinoma, Hepatocellular,Cell Line, Tumor,Cell Proliferation,Cell Survival,Drug Delivery Systems,Fingolimod Hydrochloride,Humans,Lipids,Liver Neoplasms,Male,Mice, Nude,Nanoparticles,RNA, Small Interfering,Xenograft Model Antitumor Assays","administration &amp; dosage,chemistry,drug effects,drug therapy,genetics,methods,pathology,pharmacokinetics","D000068876 Q000008 NY,D017209 Q000187 NN,D002470 Q000187 NN,D006528 Q000473 NN,D002130 Q000737 NN,D006528 Q000188 NY,D000068876 Q000493 NN,D001343 Q000235 NN,D008113 Q000188 NY,D034741 Q000737 NN,D049109 Q000187 NN,D053758 Q000737 NN,D001343 Q000187 NN,D000071186 Q000235 NY,D034741 Q000008 NN,D008055 Q000737 NN,D016503 Q000379 NY,D008113 Q000473 NN,D053758 Q000008 NY,D049109 Q000235 NN,D008113 Q000235 NN","107969,107970",NULL,Targeted co-delivery of Beclin 1 siRNA and FTY720 to hepatocellular carcinoma by calcium phosphate nanoparticles for enhanced anticancer efficacy.,"PURPOSE: FTY720, known as fingolimod, is a new immunosuppressive agent with effective anticancer properties. Although it was recently confirmed that FTY720 inhibits cancer cell proliferation, FTY720 can also induce protective autophagy and reduce cytotoxicity. Blocking autophagy with Beclin 1 siRNA after treatment with FTY720 promotes apoptosis. The objective of this study was to enhance the anticancer effect of FTY720 in hepatocellular carcinoma (HCC) by targeted co-delivery of FTY720 and Beclin 1 siRNA us",International journal of nanomedicine,"Jun-Yi Wu, Zhong-Xia Wang, Guang Zhang, Xian Lu, Guang-Hui Qiang, Wei Hu, An-Lai Ji, Jun-Hua Wu, Chun-Ping Jiang"," Department of Hepatobiliary Surgery, Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China. Department of Hepatobiliary Surgery, Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China. Department of Hepatobiliary Surgery, Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jiangsu, China. Department of Hepatobiliary Surgery, Affiliated Drum Tower Hospital of Nanjing University Medical School, Nanjing, Jia",2018 Jan;13(?):1265-1280,10.2147/ijn.s156328
29618448,20180301,article,NULL,NULL,NULL,NULL,NULL,NULL,Free radical scavenging activity of Telfairia occidentalis extracts and their effects on iron-sulphate induced lipid per oxidation.,"Non-enzymic natural antioxidants of plant origin are known to play a key role in inflammation linked with free radicals and oxidative stress. This study investigates the free radical scavenging activity of various Telfairia occidentalis leaves extracts in relation to their inhibitory effects on lipid peroxidation. The extracts markedly exhibited antioxidants activity especially the ethyl acetate (EE) and chloroform (CE) extract which scavenged 1,1-diphenyl-2-picryhydraxyl (DPPH) radicals significantly (p<0.",Pakistan journal of pharmaceutical sciences,"Adedosu Olaniyi Temitope, Adeleke Gbadebo Emmanuel, Adebola Olayemi Akintola, Fatoki John Olabode, Adelusi Temitope Isaac"," Department of Biochemistry, Faculty of Basic Medical Sciences, College of Health Sciences, Ladoke Akintola, University of Technology, Ogbomoso, Nigeria. Department of Biochemistry, Faculty of Basic Medical Sciences, College of Health Sciences, Ladoke Akintola, University of Technology, Ogbomoso, Nigeria. Department of Science, Laboratory Technology (Biochemistry Unit), Ladoke Akintola,University of Technology, Ogbomoso Nigeria. Department of Biochemistry, Faculty of Basic Medical Sciences, College of Healt",2018 Mar;31(2):559-565,NULL
29619203,20180114,article,NULL,NULL,NULL,NULL,NULL,NULL,A fluorenylidene-acridane that becomes dark in color upon grinding - ground state mechanochromism by conformational change.,"We report mechanochromic color change controlled by conformational change (between folded and twisted conformers) of fluorenylidene-acridanes (FAs). FAs with four N-alkyl groups (methyl, ethyl, n-butyl and n-octyl) were synthesized via the Barton-Kellogg reaction of diazofluorene and electrophilic N-tert-butoxy carbonyl thioacridone, deprotection of the tert-butoxy carbonyl group gives fluorenylacridine, and alkylation on the nitrogen atom is done using alkyl tosylate or triflate. FAs were characterized by ",Chemical science,"Tsuyoshi Suzuki, Hiroshi Okada, Takafumi Nakagawa, Kazuki Komatsu, Chikako Fujimoto, Hiroyuki Kagi, Yutaka Matsuo"," Department of Chemistry , School of Science , The University of Tokyo , 7-3-1 Hongo, Bunkyo-ku , Tokyo 113-0033 , Japan. Department of Mechanical Engineering , School of Engineering , The University of Tokyo , 7-3-1 Hongo, Bunkyo-ku , Tokyo 113-8565 , Japan . Email: matsuo@photon.t.u-tokyo.ac.jp. Department of Mechanical Engineering , School of Engineering , The University of Tokyo , 7-3-1 Hongo, Bunkyo-ku , Tokyo 113-8565 , Japan . Email: matsuo@photon.t.u-tokyo.ac.jp. Geochemical Research Center , Gradua",2018 Jan;9(2):475-482,10.1039/c7sc03567e
29629133,20180121,article,NULL,NULL,NULL,NULL,NULL,NULL,Fast and accurate prediction of the regioselectivity of electrophilic aromatic substitution reactions.,While computational prediction of chemical reactivity is possible it usually requires expert knowledge and there are relatively few computational tools that can be used by a bench chemist to help guide synthesis. The RegioSQM method for predicting the regioselectivity of electrophilic aromatic substitution reactions of heteroaromatic systems is presented in this paper. RegioSQM protonates all aromatic C-H carbon atoms and identifies those with the lowest free energies in chloroform using the PM3 semiempiric,Chemical science,"Jimmy C Kromann, Jan H Jensen, Monika Kruszyk, Mikkel Jessing, Morten Jørgensen"," Department of Chemistry , University of Copenhagen , Copenhagen , Denmark . Email: jhjensen@chem.ku.dk ; http://www.twitter.com/janhjensen. Department of Chemistry , University of Copenhagen , Copenhagen , Denmark . Email: jhjensen@chem.ku.dk ; http://www.twitter.com/janhjensen. Discovery Chemistry , DMPK , Neuroscience Drug Discovery , H. Lundbeck A/S, Valby , Denmark . Email: mojj@lundbeck.com. Department of Drug Design and Pharmacology , University of Copenhagen , Copenhagen , Denmark. Discovery Chemist",2018 Jan;9(3):660-665,10.1039/c7sc04156j
29677543,20180701,article,mesh,"Animals,Anti-Inflammatory Agents,Antioxidants,Apoptosis,Breast Neoplasms,Cell Death,Dose-Response Relationship, Drug,Edema,Female,Fruit,Garcinia,Humans,MCF-7 Cells,Male,Mice,Plant Extracts,RAW 264.7 Cells,Rats,Rats, Wistar,Signal Transduction","drug effects,drug therapy,isolation &amp; purification,metabolism,pathology,pharmacology,physiology,therapeutic use","D000893 Q000494 NY,D017209 Q000187 NY,D001943 Q000378 NY,D010936 Q000302 NN,D010936 Q000627 NN,D017209 Q000502 NN,D016923 Q000187 NN,D000975 Q000302 NN,D001943 Q000188 NN,D000975 Q000627 NN,D004487 Q000378 NN,D004487 Q000188 NN,D016923 Q000502 NN,D000893 Q000302 NN,D004487 Q000473 NN,D000893 Q000627 NN,D010936 Q000494 NY,D000975 Q000494 NY,D015398 Q000187 NN,D001943 Q000473 NN,D015398 Q000502 NN",NULL,NULL,"Garcinia morella fruit, a promising source of antioxidant and anti-inflammatory agents induces breast cancer cell death via triggering apoptotic pathway.","A rapid rise in cancer cases worldwide, especially breast cancer in females, instigates the need for more effective and less side effect causing drugs from natural origin. Thereby, in the present study, Garcinia morella fruit was investigated for antioxidant, anti-inflammatory and anti-breast cancer activity. Preliminary antioxidant and anticancer evaluation of different fractions and crude methanol extract of G. morella fruit suggested chloroform fraction as the bioactive fraction. Time course analysis (by",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,"Bhaswati Choudhury, Raghuram Kandimalla, R Elancheran, Rupjyoti Bharali, Jibon Kotoky"," Drug Discovery lab, Institute of Advanced Study in Science and Technology, Guwahati, Assam, India. Electronic address: bhaswatichoudhury@ymail.com. Drug Discovery lab, Institute of Advanced Study in Science and Technology, Guwahati, Assam, India. Drug Discovery lab, Institute of Advanced Study in Science and Technology, Guwahati, Assam, India. Department of Biotechnology, Gauhati University, Guwahati, Assam, India. Drug Discovery lab, Institute of Advanced Study in Science and Technology, Guwahati, Assam, ",2018 Jul;103(?):562-573,10.1016/j.biopha.2018.04.068
