17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
25912174,20150101,article,mesh,"Animals,Biomarkers,CD18 Antigens,Creatine,Dogs,Female,Glutathione,Isoprostanes,Male,Oxidative Stress,Spinal Cord,Spinal Cord Diseases,Spinal Cord Injuries","complications,etiology,metabolism,pathology,physiology,urine,veterinary","D028421 Q000652 NN,D003401 Q000652 NN,D018821 Q000378 NN,D013116 Q000473 NN,D018384 Q000502 NY,D013119 Q000662 NY,D013119 Q000150 NY,D005978 Q000378 NN,D013118 Q000209 NY,D015415 Q000378 NY","586,124886",NULL,Increase in oxidative stress biomarkers in dogs with ascending-descending myelomalacia following spinal cord injury.,"Multiple biochemical and immunohistochemical tests were performed to elucidate the role of oxidative stress during ascending-descending (A-D) myelomalacia by comparing dogs with this progressive terminal condition to dogs with chronic, focal spinal cord injuries (SCIs) and controls without SCI. Dogs with A-D myelomalacia exhibited increased biochemical markers for oxidative stress, including 8-isoprostane F2α and acrolein, as well as decreased endogenous glutathione with greatest changes occurring at the le",Journal of the neurological sciences,"Andrew Marquis, Rebecca A Packer, Richard B Borgens, Bradley S Duerstock"," Center for Paralysis Research, Dept. of Basic Medical Sciences, College of Veterinary Medicine, Purdue University, United States. Dept. of Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Colorado State University, United States. Center for Paralysis Research, Dept. of Basic Medical Sciences, College of Veterinary Medicine, Purdue University, United States. Center for Paralysis Research, Weldon School of Biomedical Engineering, School of Industrial Engineering, Purdue University, ",2015 Jan;353(?):63-9,10.1016/j.jns.2015.04.003
25935678,20150701,article,mesh,"Acetylcysteine,Chromatography, Liquid,High-Throughput Screening Assays,Humans,Limit of Detection,Smoking,Tandem Mass Spectrometry,Urinalysis","analysis,methods,urine","D012907 Q000652 NY,D057166 Q000379 NN,D002853 Q000379 NN,D000111 Q000652 NY,D000111 Q000032 NN,D053719 Q000379 NY,D016482 Q000379 NN","12035,12114682,23678798",NULL,Analysis of 18 urinary mercapturic acids by two high-throughput multiplex-LC-MS/MS methods.,"Mercapturic acids (MAs) are metabolic end products formed from conjugates between glutathione and electrophilic compounds. MAs are, therefore, suitable biomarkers of exposure to toxicants, which are either electrophiles by themselves or metabolized to electrophilic intermediates. We developed and validated two LC-MS/MS methods which allow the complementary, rapid, and sensitive determination of MAs derived from acrolein, acrylamide, acrylonitrile, benzene, 1,3-butadiene, crotonaldehyde, N,N-dimethylformamid",Analytical and bioanalytical chemistry,"Nikola Pluym, Gerhard Gilch, Gerhard Scherer, Max Scherer"," ABF, Analytisch-Biologisches Forschungslabor München, Goethestrasse 20, 80336, Munich, Germany.",2015 Jul;407(18):5463-76,10.1007/s00216-015-8719-x
25967970,20150101,article,mesh,"Acrolein,Animals,Antioxidants,Aorta,Cells, Cultured,Endothelium, Vascular,Gene Expression Regulation,Glucose,Human Umbilical Vein Endothelial Cells,Humans,Male,Mice,Mice, Inbred C57BL,NF-E2-Related Factor 2,Nitric Oxide,Oxidative Stress,Reactive Oxygen Species","analogs &amp; derivatives,cytology,drug effects,metabolism,pharmacology","D001011 Q000187 NY,D051267 Q000378 NY,D004730 Q000166 NN,D000171 Q000494 NN,D004730 Q000187 NY,D018384 Q000187 NN,D017382 Q000378 NN,D005947 Q000494 NY,D001011 Q000166 NN,D009569 Q000378 NN,D000171 Q000031 NY,D005786 Q000187 NN,D000975 Q000494 NY","5793,7847,24749,107526,145068,637511,10954115,12480411,12480412,53421694,87517085",NULL,Cinnamaldehyde prevents endothelial dysfunction induced by high glucose by activating Nrf2.,"BACKGROUND/AIMS: It is well documented that hyperglycemia-induced oxidative stress is an important causative factor of endothelial dysfunction. Cinnamaldehyde (CA) is a key flavor compound in cinnamon essential oil that can enhance the antioxidant defense against reactive oxygen species (ROS) by activating NF-E2-related factor 2 (Nrf2), which has been shown to have a cardiovascular protective effect, but its role in endothelial dysfunction induced by high glucose is unknown. METHODS: Dissected male C57BL/6J","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","Fang Wang, Chunhua Pu, Peng Zhou, Peijian Wang, Dengpan Liang, Qiulin Wang, Yonghe Hu, Binghu Li, Xinzhong Hao"," Department of Cardiology, The First Affiliated Hospital, Chengdu Medical College, Chengdu, China.",2015 Jan;36(1):315-24,10.1159/000374074
25971278,20150101,article,mesh,"Acrolein,Animals,Antioxidants,Brassicaceae,Carrier Proteins,Cysteine,Dinitrochlorobenzene,Haptens,Hazardous Substances,Humans,Isocyanates,Lysine,Mice,NF-E2-Related Factor 2,Occupational Exposure,Occupational Health,Oxidative Stress,Protein Binding,Reactive Oxygen Species,Skin Irritancy Tests,Tricarboxylic Acids","adverse effects,analogs &amp; derivatives,drug effects,genetics,metabolism,methods,physiology,prevention &amp; control","D000171 Q000009 NN,D018384 Q000235 NN,D016273 Q000517 NY,D016273 Q000009 NY,D018384 Q000187 NN,D017382 Q000378 NN,D002352 Q000378 NN,D004137 Q000378 NN,D017953 Q000378 NN,D000171 Q000378 NN,D003545 Q000378 NN,D015386 Q000009 NY,D006241 Q000009 NN,D000171 Q000031 NN,D051267 Q000502 NY,D008239 Q000378 NN,D017953 Q000009 NN,D015386 Q000378 NN,D006241 Q000378 NN,D004137 Q000009 NN,D023422 Q000379 NN","6,594,5862,5962,7847,10708,12047,25150,69568,92851,104152,169132,637511,641599,12480411,12480412,53395091,53421694",NULL,[Can a sensitizer potency be attenuated?].,NULL,Sangyo eiseigaku zasshi = Journal of occupational health,Hideji Tanii," Department of Hygiene, Graduate School of Medical Sciences, Kanazawa University, Japan.",2015 Jan;57(4):144-5,10.1539/sangyoeisei.wadai15001
25979079,20150715,article,mesh,"Animals,Capillary Permeability,Cell Proliferation,Cells, Cultured,Ceramides,Electric Impedance,Electronic Nicotine Delivery Systems,Endothelium, Vascular,Female,Gas Chromatography-Mass Spectrometry,Humans,Immunoblotting,Lysophospholipids,Mice,Mice, Inbred C57BL,Nicotine,Nicotinic Agonists,Oxidative Stress,Phosphorylation,Pneumonia,Rats,Signal Transduction,Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization,Sphingosine","adverse effects,analogs &amp; derivatives,chemically induced,drug effects,metabolism,pathology","D002199 Q000187 NN,D004730 Q000187 NY,D011014 Q000378 NN,D011014 Q000139 NN,D011014 Q000473 NY,D049109 Q000187 NN,D018722 Q000009 NY,D013110 Q000378 NN,D013110 Q000031 NN,D018384 Q000187 NY,D004730 Q000378 NN,D004730 Q000473 NN,D009538 Q000009 NY,D066300 Q000009 NY,D008246 Q000378 NN,D010766 Q000187 NN,D015398 Q000187 NN,D002518 Q000378 NN","89594,2735102,5280335,5283560,57351368",NULL,Endothelial disruptive proinflammatory effects of nicotine and e-cigarette vapor exposures.,"The increased use of inhaled nicotine via e-cigarettes has unknown risks to lung health. Having previously shown that cigarette smoke (CS) extract disrupts the lung microvasculature barrier function by endothelial cell activation and cytoskeletal rearrangement, we investigated the contribution of nicotine in CS or e-cigarettes (e-Cig) to lung endothelial injury. Primary lung microvascular endothelial cells were exposed to nicotine, e-Cig solution, or condensed e-Cig vapor (1-20 mM nicotine) or to nicotine-f",American journal of physiology. Lung cellular and molecular physiology,"Kelly S Schweitzer, Steven X Chen, Sarah Law, Mary Van Demark, Christophe Poirier, Matthew J Justice, Walter C Hubbard, Elena S Kim, Xianyin Lai, Mu Wang, William D Kranz, Clinton J Carroll, Bruce D Ray, Robert Bittman, John Goodpaster, Irina Petrache"," Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana; Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana; Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana; Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana; Department of Medicine, Indiana University School of Medicine, Indianapolis, Indiana; Department of Medicine, Indiana University School of Medicine, Indianapolis, Indi",2015 Jul;309(2):L175-87,10.1152/ajplung.00411.2014
26029925,20150101,article,mesh,"Acrolein,Animals,Apoptosis,Cell Death,Cell Line,Cell Line, Tumor,Endothelial Cells,Enteritis,Epithelial Cells,Human Umbilical Vein Endothelial Cells,Humans,Intestinal Mucosa,Intestines,Mice,Mice, Inbred C3H,Radiation,Radiation Injuries, Experimental,Radiation-Protective Agents,Rats","analogs &amp; derivatives,drug effects,drug therapy,pharmacology,radiation effects","D016923 Q000528 NN,D004751 Q000188 NN,D016923 Q000187 NY,D017209 Q000187 NN,D000171 Q000494 NN,D004847 Q000187 NN,D007413 Q000187 NN,D007413 Q000528 NN,D007422 Q000187 NN,D007422 Q000528 NN,D042783 Q000528 NN,D011833 Q000188 NY,D011837 Q000494 NY,D004847 Q000528 NN,D042783 Q000187 NY,D000171 Q000031 NY,D017209 Q000528 NN","7847,5280536",NULL,Coniferyl aldehyde attenuates radiation enteropathy by inhibiting cell death and promoting endothelial cell function.,"Radiation enteropathy is a common complication in cancer patients. The aim of this study was to investigate whether radiation-induced intestinal injury could be alleviated by coniferyl aldehyde (CA), an HSF1-inducing agent that increases cellular HSP70 expression. We systemically administered CA to mice with radiation enteropathy following abdominal irradiation (IR) to demonstrate the protective effects of CA against radiation-induced gastrointestinal injury. CA clearly alleviated acute radiation-induced in",PloS one,"Ye-Ji Jeong, Myung Gu Jung, Yeonghoon Son, Jun-Ho Jang, Yoon-Jin Lee, Sung-Ho Kim, Young-Gyo Ko, Yun-Sil Lee, Hae-June Lee"," Division of Radiation Effects, Korea Institute of Radiological and Medical Sciences, Seoul, Korea; Department of Life Sciences, Korea University, Seoul, Korea. Division of Radiation Effects, Korea Institute of Radiological and Medical Sciences, Seoul, Korea. Division of Radiation Effects, Korea Institute of Radiological and Medical Sciences, Seoul, Korea. Division of Radiation Effects, Korea Institute of Radiological and Medical Sciences, Seoul, Korea. Division of Radiation Effects, Korea Institute of Radi",2015 Jan;10(6):e0128552,10.1371/journal.pone.0128552
26142866,20150901,article,mesh,"Acrolein,Animals,Biofilms,Cattle,Cinnamomum zeylanicum,DNA, Bacterial,Eugenol,Female,Food Contamination,Food Microbiology,Gas Chromatography-Mass Spectrometry,Mastitis, Bovine,Microbial Sensitivity Tests,Milk,Oils, Volatile,Staphylococcal Infections,Staphylococcus aureus,Syzygium","analogs &amp; derivatives,chemistry,drug effects,drug therapy,genetics,growth &amp; development,isolation &amp; purification,microbiology,pharmacology,veterinary","D013203 Q000662 NN,D013211 Q000254 NN,D009822 Q000494 NN,D000171 Q000494 NN,D013211 Q000187 NN,D004269 Q000302 NY,D008892 Q000382 NN,D027842 Q000737 NY,D000171 Q000031 NN,D004269 Q000235 NN,D013211 Q000302 NY,D005054 Q000494 NN,D013203 Q000188 NY,D008414 Q000382 NY,D002935 Q000737 NY","3314,7847,637511,12480411,12480412,53421694",NULL,Effect of essential oils of Syzygium aromaticum and Cinnamomum zeylanicum and their major components on biofilm production in Staphylococcus aureus strains isolated from milk of cows with mastitis.,Bovine mastitis is an inflammation of the mammary glands of cows and causes significant economic losses in dairy cattle. Staphylococcus aureus is one of the microorganisms most commonly isolated. Novel agents are required in agricultural industries to prevent the development of mastitis. The production of biofilm by Staph. aureus facilitates the adhesion of bacteria to solid surfaces and contributes to the transmission and maintenance of these bacteria. The effect of the essential oils of Syzygium aromaticu,Journal of dairy science,"P E Budri, N C C Silva, E C R Bonsaglia, A Fernandes Júnior, J P Araújo Júnior, J T Doyama, J L Gonçalves, M V Santos, D Fitzgerald-Hughes, V L M Rall"," Department of Microbiology and Immunology, Instituto de Biociências, Universidade Estadual Paulista (UNESP), Botucatu, SP, Brazil 18618-970; Department of Clinical Microbiology, Royal College of Surgeons in Ireland (RCSI), Beaumont Hospital, Dublin, Ireland 2. Department of Microbiology and Immunology, Instituto de Biociências, Universidade Estadual Paulista (UNESP), Botucatu, SP, Brazil 18618-970; Department of Agroindustry, Food and Nutrition, Universidade de São Paulo (USP), Piracicaba, SP, Brazil 13418",2015 Sep;98(9):5899-904,10.3168/jds.2015-9442
26201597,20150723,article,mesh,"Acrolein,Air,Amino Alcohols,Carbon,Catalysis,Chemistry Techniques, Synthetic,Electrons,Humidity,Imines,Nitrogen","chemical synthesis,chemistry,methods","D060326 Q000379 NY,D009584 Q000737 NN,D000605 Q000138 NN,D007097 Q000737 NY,D000171 Q000737 NN,D000605 Q000737 NN,D002244 Q000737 NN","947,7847",NULL,Catalytic asymmetric umpolung reactions of imines.,"The carbon-nitrogen double bonds in imines are fundamentally important functional groups in organic chemistry. This is largely due to the fact that imines act as electrophiles towards carbon nucleophiles in reactions that form carbon-carbon bonds, thereby serving as one of the most widely used precursors for the formation of amines in both synthetic and biosynthetic settings. If the carbon atom of the imine could be rendered electron-rich, the imine could react as a nucleophile instead of as an electrophile",Nature,"Yongwei Wu, Lin Hu, Zhe Li, Li Deng"," Department of Chemistry, Brandeis University, 415 South Street, Waltham, Massachusetts 02454, USA. Department of Chemistry, Brandeis University, 415 South Street, Waltham, Massachusetts 02454, USA. Department of Chemistry, Brandeis University, 415 South Street, Waltham, Massachusetts 02454, USA. Department of Chemistry, Brandeis University, 415 South Street, Waltham, Massachusetts 02454, USA.",2015 Jul;523(7561):445-50,10.1038/nature14617
26234631,20151001,article,mesh,"Acrolein,Animals,Anti-Inflammatory Agents,Brain,Chemokine CCL2,Disease Models, Animal,E-Selectin,Infarction, Middle Cerebral Artery,Interleukin-1beta,Male,Mice,NF-kappa B,Neuroprotective Agents,RNA, Messenger,TNF Receptor-Associated Factor 6,Toll-Like Receptor 4,Tumor Necrosis Factor-alpha,Water","analogs &amp; derivatives,drug effects,drug therapy,genetics,metabolism,pathology,pharmacology,therapeutic use","D000171 Q000494 NN,D053583 Q000235 NN,D020244 Q000473 NN,D018696 Q000494 NN,D000171 Q000627 NN,D020244 Q000188 NY,D014409 Q000235 NN,D051197 Q000378 NN,D016328 Q000378 NN,D014867 Q000378 NN,D001921 Q000187 NN,D019040 Q000235 NN,D001921 Q000378 NN,D001921 Q000473 NN,D012333 Q000378 NN,D018932 Q000235 NN,D000171 Q000031 NY,D020244 Q000378 NN,D000893 Q000494 NN,D018696 Q000627 NY,D048029 Q000378 NN,D000893 Q000627 NY","962,7847,637511,12480411,12480412,53421694",NULL,Cinnamaldehyde inhibits inflammation and brain damage in a mouse model of permanent cerebral ischaemia.,BACKGROUND AND PURPOSE: Recent findings suggest the importance of inflammation in the pathogenesis of cerebral ischaemia and its potential as a therapeutic target. Cinnamaldehyde is a diterpene with a wide range of anti-inflammatory effects thus may be advantageous in the treatment of cerebral ischaemia. The present study examined the potential therapeutic effects of cinnamaldehyde on cerebral ischaemia using a mouse model with permanent middle cerebral artery occlusion. EXPERIMENTAL APPROACH: Male CD-1 mic,British journal of pharmacology,"Jingru Zhao, Xiangjian Zhang, Lipeng Dong, Ya Wen, Xiufen Zheng, Cong Zhang, Rong Chen, Ye Zhang, Yaoru Li, Tingting He, Xingyuan Zhu, Litao Li"," Department of Neurology, Second Hospital of Hebei Medical University, Shijiazhuang, China. Department of Neurology, Hebei General Hospital, Shijiazhuang, China. Department of Neurology, Second Hospital of Hebei Medical University, Shijiazhuang, China. Hebei Collaborative Innovation Center for Cardio-Cerebrovascular Disease, Shijiazhuang, China. Hebei Key Laboratory of Vascular Homeostasis, Shijiazhuang, China. Department of Neurology, Second Hospital of Hebei Medical University, Shijiazhuang, China. Depart",2015 Oct;172(20):5009-23,10.1111/bph.13270
26244607,20151101,article,"xref,mesh","Acrolein,Allergens,Antioxidant Response Elements,Basic-Leucine Zipper Transcription Factors,Cell Line,Cloning, Molecular,Dose-Response Relationship, Drug,Epigenetic Repression,Fanconi Anemia Complementation Group Proteins,Gene Knockdown Techniques,Heme Oxygenase-1,Humans,Hydroxysteroid Dehydrogenases,Keratinocytes,Luciferases,NF-E2-Related Factor 2,Promoter Regions, Genetic,RNA, Small Interfering,Skin,Up-Regulation","analogs &amp; derivatives,drug effects,genetics,metabolism,toxicity","D051547 Q000378 NY,D006913 Q000235 NN,D051267 Q000378 NY,D051267 Q000235 NN,D015603 Q000187 NN,D050976 Q000235 NN,D008156 Q000378 NN,D061745 Q000187 NY,D050976 Q000378 NY,D015603 Q000378 NN,D051856 Q000378 NY,D000171 Q000633 NN,D000171 Q000031 NN,D034741 Q000235 NN,D012867 Q000378 NN,D008156 Q000235 NN,D006913 Q000378 NY,D000485 Q000633 NY,D051856 Q000235 NN,D051547 Q000235 NN,D034741 Q000378 NN","6,3314,7291,7355,7476,7814,7847,61948,66011,443314,637511,638011,1550884,1712094,3641960,5315892,12480411,12480412,53421694","53787078,53787574,53787752,53788237,53788380,53789259,53790538,85286110,121147420,134224876,135653471,135653653,135653703,136368302,255511815",Dual regulation of skin sensitizer-induced HMOX1 expression by Bach1 and Nrf2: Comparison to regulation of the AKR1C2-ARE element in the KeratinoSens cell line.,"Heme oxygenase (decycling) 1 (HMOX1) is the most consistently found genetic marker induced by skin sensitizers. HMOX1 is often referred to as typical gene regulated by nuclear factor erythroid 2-related factor 2 (Nrf2), however, it is also regulated by other DNA-binding factors, including BTB and CNC homolog 1 (Bach1). The KeratinoSens™ assay is the first validated in vitro assay for sensitizers that measures gene induction. It is based on luciferase expression regulated by the antioxidant response element ",Toxicology and applied pharmacology,"Roger Emter, Andreas Natsch"," Biosciences, Givaudan Schweiz AG, Ueberlandstrasse 138, CH-8600 Duebendorf, Switzerland. Biosciences, Givaudan Schweiz AG, Ueberlandstrasse 138, CH-8600 Duebendorf, Switzerland. Electronic address: andreas.natsch@givaudan.com.",2015 Nov;288(3):281-8,10.1016/j.taap.2015.07.027
26254323,20151001,article,mesh,"Acetanilides,Acrolein,Anilides,Animals,Behavior, Animal,Cinnamates,Cold Temperature,Hirudo medicinalis,Isothiocyanates,Maleimides,Nociceptors,Purines,Sensory Receptor Cells,TRPV Cation Channels","analogs &amp; derivatives,antagonists &amp; inhibitors,drug effects,pharmacology,physiology","D050916 Q000037 NY,D017879 Q000494 NN,D000171 Q000494 NN,D000083 Q000494 NN,D011687 Q000494 NN,D011984 Q000502 NN,D000813 Q000494 NN,D050916 Q000502 NN,D047709 Q000502 NN,D009619 Q000187 NY,D000171 Q000031 NN,D001522 Q000187 NN,D009619 Q000502 NN,D047709 Q000187 NY,D011984 Q000187 NN,D008301 Q000494 NN,D002934 Q000494 NN","5971,7847,70261,637511,667594,1150897,12480411,12480412,53421694",NULL,"Physiological, pharmacological and behavioral evidence for a TRPA1 channel that can elicit defensive responses in the medicinal leech.","Transient receptor potential ankyrin subtype 1 (TRPA1) channels are chemosensitive to compounds such as allyl isothiocyanate (AITC, the active component of mustard oil) and other reactive electrophiles and may also be thermodetectors in many animal phyla. In this study, we provide the first pharmacological evidence of a putative TRPA1-like channel in the medicinal leech. The leech's polymodal nociceptive neuron was activated by both peripheral and central application of the TRPA1 agonist AITC in a concentra",The Journal of experimental biology,"Torrie Summers, Yanqing Wang, Brandon Hanten, Brian D Burrell"," Center for Brain and Behavior Research and Division of Basic Biomedical Sciences, Sanford School of Medicine, University of South Dakota, Vermillion, SD 57069, USA. Center for Brain and Behavior Research and Division of Basic Biomedical Sciences, Sanford School of Medicine, University of South Dakota, Vermillion, SD 57069, USA. Center for Brain and Behavior Research and Division of Basic Biomedical Sciences, Sanford School of Medicine, University of South Dakota, Vermillion, SD 57069, USA. Center for Brain",2015 Oct;218(?):3023-31,10.1242/jeb.120600
26288559,20150901,article,NULL,NULL,NULL,NULL,NULL,NULL,Biotin amelioration of nephrotoxicity in streptozotocin-induced diabetic mice.,The current study was carried out to investigate the protective role of biotin in kidney injury and oxidative stress in diabetic mice type 1. Male Swiss albino mice were randomly divided into 3 groups. Control group received saline. Diabetes type 1 was induced in second and third groups by intraperitoneal injection of streptozotocin as a single dose (150 mg/kg). Second group remained as the untreated diabetic group and the third group received 15 mg/kg daily oral dose of biotin for 12 successive days. Bioch,Saudi journal of biological sciences,"Badr A Aldahmash, Doaa M El-Nagar, Khalid E Ibrahim, Mahmoud S Metwaly"," Zoology Department, College of Science, King Saud University, Riyadh, Saudi Arabia. Department of Zoology, College of Girls for Science, Arts and Education, Ain Shams University, Cairo, Egypt. Zoology Department, College of Science, King Saud University, Riyadh, Saudi Arabia. Zoology Department, College of Science, King Saud University, Riyadh, Saudi Arabia.",2015 Sep;22(5):564-9,10.1016/j.sjbs.2015.03.003
26364876,20151001,review,mesh,"Acrolein,Animals,Consumer Product Safety,DNA Damage,Dose-Response Relationship, Drug,Drug Evaluation, Preclinical,Endpoint Determination,Humans,No-Observed-Adverse-Effect Level,Perfume,Rats,Risk Assessment,Toxicity Tests","analogs &amp; derivatives,chemistry,drug effects,toxicity","D000171 Q000633 NN,D004249 Q000187 NN,D010476 Q000737 NN,D000171 Q000031 NY,D000171 Q000737 NN,D010476 Q000633 NY","7847,637511,12480411,12480412,53421694",NULL,"RIFM fragrance ingredient safety assessment, α-butylcinnamaldehyde, CAS Registry Number 7492-44-6.","The use of this material under current use conditions is supported by the existing information. This material was evaluated for genotoxicity, repeated dose toxicity, developmental toxicity, reproductive toxicity, local respiratory toxicity, phototoxicity, skin sensitization potential, as well as, environmental safety. Repeated dose toxicity was determined to have the most conservative systemic exposure derived NO[A]EL of 29.9 mg/kg/day. A dietary 14-week subchronic toxicity study conducted in rats on a suit",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"A M Api, D Belsito, S Bhatia, M Bruze, P Calow, M L Dagli, W Dekant, A D Fryer, L Kromidas, S La Cava, J F Lalko, A Lapczynski, D C Liebler, V T Politano, G Ritacco, D Salvito, T W Schultz, J Shen, I G Sipes, B Wall, D K Wilcox"," Research Institute for Fragrance Materials, Inc., 50 Tice Boulevard, Woodcliff Lake, NJ 07677, USA. Electronic address: AApi@rifm.org. Columbia University Medical Center, Department of Dermatology, 161 Fort Washington Ave., New York, NY 10032, USA. Research Institute for Fragrance Materials, Inc., 50 Tice Boulevard, Woodcliff Lake, NJ 07677, USA. Malmo University Hospital, Department of Occupational & Environmental Dermatology, Sodra Forstadsgatan 101, Entrance 47, Malmo SE-20502, Sweden. University of Neb",2015 Oct;?(?):S100-9,10.1016/j.fct.2015.09.006
26402588,20160301,article,mesh,"Acrolein,Bacteria,Calcium Carbonate,Cell Death,Cell Survival,Drug Liberation,Fibroblasts,Gingiva,Humans,Hydrogel, Polyethylene Glycol Dimethacrylate,Hydrogen-Ion Concentration,Inflammation,Materials Testing,Microbial Sensitivity Tests,Surgical Procedures, Operative","adverse effects,analogs &amp; derivatives,chemistry,cytology,drug effects,drug therapy,etiology,pharmacology,therapeutic use","D002470 Q000187 NN,D000171 Q000494 NN,D005881 Q000166 NN,D000171 Q000627 NN,D016923 Q000187 NN,D002119 Q000737 NY,D005347 Q000166 NN,D007249 Q000209 NY,D020136 Q000737 NY,D005347 Q000187 NN,D013514 Q000009 NY,D000171 Q000031 NY,D000171 Q000737 NN,D007249 Q000188 NY,D001419 Q000187 NN","7847,10112,637511,12480411,12480412,53421694,134715697",NULL,Calcium carbonate hydrogel construct with cynnamaldehyde incorporated to control inflammation during surgical procedure.,"The incorporation of CaCO(3) hydrogel has been proven to enhance the bone biological activity of Plaster of Paris (POP) and to decrease its degradability. However, the installation of this bone substitute in a bone defect will still be associated with an inflammatory response. In this study, the influence of cinnamaldehyde as anti-inflammatory agent, was investigated. In addition, it is known that aldehyde chains of cinnamaldehyde may also act as crosslinking agent and function as a plastisizer to the CaCO(",Journal of biomedical materials research. Part A,"Anne Handrini Dewi, Ika Dewi Ana, John Jansen"," Department of Dental Biomedical Sciences, Faculty of Dentistry, Gadjah Mada University, Yogyakarta, 55281, Indonesia. Department of Dental Biomedical Sciences, Faculty of Dentistry, Gadjah Mada University, Yogyakarta, 55281, Indonesia. Department of Biomaterials, Radboud University Medical Center, 6500 HB Nijmegen, The Netherlands.",2016 Mar;104(3):768-774,10.1002/jbm.a.35571
26461394,20141001,article,NULL,NULL,NULL,NULL,NULL,NULL,Lipid peroxidation in Rheumatoid arthritis; consequences and monitoring.,The epidemiological studies have shown that rheumatoid arthritis (RA) leads to oxidative stress formation. Therefore the aim of this study has been to estimate the lipid peroxidation in RA patients. Moreover the reasons and consequences of changes in lipid peroxidation were estimated. 73 patients with RA and 62 healthy subjects were included into the study. Lipid peroxidation was estimated by the measurement of phospholipid arachidonic acid (AA) and linoleic acid (LA) as well as aldehydes: 4-hydroxynonenal ,Free radical biology & medicine,"Wojciech Luczaj, Iwona Jarocka-Karpinska, Stanislaw Sierakowski, Luka Andrisic, Neven Zarkovic, Elzbieta Skrzydlewska"," Medical University of Bialystok, Department of Analytical Chemistry, Poland. Medical University of Bialystok, Department of Analytical Chemistry, Poland. Medical University of Bialystok, Department of Rheumatology and Internal Medicine, Poland. LabOS, Rudjer Boskovic Institute, Croatia. LabOS, Rudjer Boskovic Institute, Croatia. Medical University of Bialystok, Department of Analytical Chemistry, Poland. Electronic address: skrzydle@umb.edu.pl.",2014 Oct;?(?):S49,10.1016/j.freeradbiomed.2014.10.816
26585445,20160201,article,mesh,"Acrolein,Aflatoxin B1,Antifungal Agents,Aspergillus flavus,Fungal Proteins,Gene Expression Regulation, Fungal,Oxidative Stress","analogs &amp; derivatives,biosynthesis,drug effects,genetics,growth &amp; development,metabolism,pharmacology","D000935 Q000494 NY,D001231 Q000254 NY,D000171 Q000494 NN,D016604 Q000096 NY,D005656 Q000235 NN,D005656 Q000378 NN,D001231 Q000378 NN,D001231 Q000187 NY,D001231 Q000235 NN,D018384 Q000187 NY,D000171 Q000031 NY,D015966 Q000187 NN","7847,14403,186907,637511,12480411,12480412,53421694",NULL,Cinnamaldehyde inhibits fungal growth and aflatoxin B1 biosynthesis by modulating the oxidative stress response of Aspergillus flavus.,"Cinnamaldehyde (CIN) is a promising natural preservative and generally recognized as safe for commodities as well as consumers. In this work, the antifungal effects of CIN on Aspergillus flavus were evaluated both in solid and in liquid culture conditions. Our results indicated that CIN effectively inhibited radial growth, spore production, mycelium formation, and aflatoxin B1 biosynthesis by A. flavus in a dose-dependent manner. At the concentration of 104 mg L(-1), CIN exposure was able to completely inhi",Applied microbiology and biotechnology,"Qi Sun, Bo Shang, Ling Wang, Zhisong Lu, Yang Liu"," Institute of Food Science and Technology, Chinese Academy of Agricultural Sciences/Key Laboratory of Agro-Products Processing, Ministry of Agriculture, No. 1 Nongda South Road, Haidian District, Xibeiwang Town, Beijing, 100193, People's Republic of China. Institute of Food Science and Technology, Chinese Academy of Agricultural Sciences/Key Laboratory of Agro-Products Processing, Ministry of Agriculture, No. 1 Nongda South Road, Haidian District, Xibeiwang Town, Beijing, 100193, People's Republic of China.",2016 Feb;100(3):1355-1364,10.1007/s00253-015-7159-z
